DATE;TIME;TEMPERATURE;RELATIVE-HUMIDITY;DEW-POINT
06.05.2025;13:44:17;18.9;70.3;13.3
06.05.2025;14:44:17;16.2;78.4;12.4
06.05.2025;15:44:17;14.9;84.6;12.3
06.05.2025;16:44:17;13.6;86.0;11.3
06.05.2025;17:44:17;12.0;91.3;10.6
06.05.2025;18:44:17;12.0;92.9;10.8
06.05.2025;19:44:17;11.9;93.4;10.8
06.05.2025;20:44:17;10.9;94.7;10.0
06.05.2025;21:44:17;10.4;95.6;9.7
06.05.2025;22:44:17;10.3;96.3;9.7
06.05.2025;23:44:17;10.2;96.6;9.6
07.05.2025;0:44:17;10.5;97.0;10.0
07.05.2025;1:44:17;10.5;97.1;10.0
07.05.2025;2:44:17;10.5;97.3;10.0
07.05.2025;3:44:17;10.6;97.5;10.2
07.05.2025;4:44:17;10.7;97.7;10.3
07.05.2025;5:44:17;11.5;98.0;11.1
07.05.2025;6:44:17;14.8;82.9;11.9
07.05.2025;7:44:17;17.7;71.3;12.4
07.05.2025;8:44:17;22.1;55.6;12.8
07.05.2025;9:44:17;21.2;56.5;12.2
07.05.2025;10:44:17;15.0;76.7;10.9
07.05.2025;11:44:17;16.6;71.4;11.4
07.05.2025;12:44:17;18.8;69.7;13.1
07.05.2025;13:44:17;18.0;71.5;12.7
07.05.2025;14:44:17;16.3;68.9;10.5
07.05.2025;15:44:17;15.5;73.6;10.8
07.05.2025;16:44:17;12.5;88.8;10.7
07.05.2025;17:44:17;9.1;95.2;8.3
07.05.2025;18:44:17;8.9;97.1;8.4
07.05.2025;19:44:17;11.3;97.2;10.8
07.05.2025;20:44:17;10.3;97.1;9.8
07.05.2025;21:44:17;8.3;97.4;7.9
07.05.2025;22:44:17;9.7;98.2;9.4
07.05.2025;23:44:17;10.1;98.0;9.7
08.05.2025;0:44:17;10.2;97.8;9.8
08.05.2025;1:44:17;9.1;97.5;8.7
08.05.2025;2:44:17;10.0;98.4;9.7
08.05.2025;3:44:17;9.1;97.6;8.7
08.05.2025;4:44:17;9.0;98.7;8.8
08.05.2025;5:44:17;12.1;95.4;11.3
08.05.2025;6:44:17;18.4;70.3;12.8
08.05.2025;7:44:17;20.7;57.8;12.0
08.05.2025;8:44:17;24.3;49.6;13.0
08.05.2025;9:44:17;30.0;35.2;12.9
08.05.2025;10:44:17;15.8;82.0;12.7
08.05.2025;11:44:17;23.7;59.7;15.3
08.05.2025;12:44:17;23.3;60.4;15.2
08.05.2025;13:44:17;18.3;69.6;12.2
08.05.2025;14:44:17;16.4;76.4;11.7
08.05.2025;15:44:17;15.4;83.4;12.1
08.05.2025;16:44:17;13.9;87.8;11.5
08.05.2025;17:44:17;11.7;88.5;9.4
08.05.2025;18:44:17;13.5;93.0;12.1
08.05.2025;19:44:17;13.2;91.7;11.6
08.05.2025;20:44:17;10.0;92.3;8.4
08.05.2025;21:44:17;10.5;94.4;9.4
08.05.2025;22:44:17;10.7;93.9;9.4
08.05.2025;23:44:17;9.9;96.5;9.2
09.05.2025;00:44:17;11.5;94.2;10.3
09.05.2025;01:44:17;9.3;97.1;8.7
09.05.2025;02:44:17;11.0;96.5;10.3
09.05.2025;03:44:17;9.5;98.5;9.2
09.05.2025;04:44:17;11.4;98.9;11.2
09.05.2025;05:44:17;10.9;99.0;10.7
09.05.2025;06:44:17;15.2;82.5;11.7
09.05.2025;07:44:17;18.8;73.3;13.4
09.05.2025;08:44:17;22.3;53.8;13.0
09.05.2025;09:44:17;21.6;55.3;12.7
09.05.2025;10:44:17;15.1;75.1;10.1
09.05.2025;11:44:17;17.7;69.6;11.6
09.05.2025;12:44:17;18.4;69.6;12.3
09.05.2025;13:44:17;19.0;71.8;13.4
09.05.2025;14:44:17;17.6;71.6;11.9
09.05.2025;15:44:17;16.5;75.9;11.7
09.05.2025;16:44:17;13.5;88.1;11.1
09.05.2025;17:44:17;9.7;93.8;8.4
09.05.2025;18:44:17;10.1;99.0;9.9
09.05.2025;19:44:17;9.8;98.2;9.5
09.05.2025;20:44:17;11.2;99.0;11.0
09.05.2025;21:44:17;7.4;98.1;7.0
09.05.2025;22:44:17;10.7;96.3;9.9
09.05.2025;23:44:17;9.3;95.3;8.4
10.05.2025;00:44:17;9.4;95.6;8.5
10.05.2025;01:44:17;8.6;95.5;7.6
10.05.2025;02:44:17;8.6;99.0;8.4
10.05.2025;03:44:17;10.2;95.0;9.2
10.05.2025;04:44:17;10.5;97.3;9.9
10.05.2025;05:44:17;10.9;94.6;9.8
10.05.2025;06:44:17;18.3;67.5;11.8
10.05.2025;07:44:17;21.6;60.6;13.7
10.05.2025;08:44:17;23.8;50.0;13.8
10.05.2025;09:44:17;30.9;34.4;17.8
10.05.2025;10:44:17;17.0;83.4;13.7
10.05.2025;11:44:17;23.7;60.3;15.8
10.05.2025;12:44:17;24.4;58.6;16.1
10.05.2025;13:44:17;17.8;71.0;12.0
10.05.2025;14:44:17;17.2;80.8;13.4
10.05.2025;15:44:17;13.5;84.6;10.4
10.05.2025;16:44:17;13.3;88.3;11.0
